rate,role,word
1,N,
1,	,
1,	,
1,	,
1,N,ADN
1,N,ADSL
1,N,AIDS
1,N,AK
1,N,ATM
1,N,Ag
1,N,Al
1,N,As
1,N,Au
1,N,BCH
1,N,BGĐ
1,N,BHXH
1,N,BHYT
1,N,BIOS
1,N,BXL
1,N,Br
1,N,Bà La Môn
1,N,Bà La Môn giáo
1,N,Bắc Cực
1,N,Bắc Đẩu
1,N,CC
1,N,CD-ROM
1,N,CEO
1,N,CIF
1,N,CLB
1,N,CMT
1,N,CN
1,N,CNTB
1,N,CNXH
1,N,CP
1,N,CPU
1,N,CS
1,N,CSDL
1,N,CT
1,N,CTCP
1,N,CY
1,X,Ca
1,N,Cd
1,N,Celsius
1,N,Chính Thống giáo
1,N,Chức Nữ
1,N,Cl
1,X,Co
1,X,Cr
1,N,Cty
1,X,Cu
1,N,Công giáo
1,N,Cơ Đốc giáo
1,N,Cựu Ước
1,N,D
1,N,Diêm Vương
1,N,El Nino
1,N,FOB
1,N,FTP
1,N,Fahrenheit
1,X,Fe
1,X,G
1,N,GB
1,N,GDP
1,N,GNP
1,N,GPS
1,N,GS
1,N,Gbit
1,X,Ge
1,N,HD
1,N,HDI
1,N,HIV
1,N,HT
1,N,HTML
1,N,HTTP
1,N,HTX
1,N,He
1,X,Hg
1,N,Hz
1,N,Hán học
1,N,HĐND
1,N,HĐQT
1,N,Hằng Nga
1,N,Hệ Mặt Trời
1,N,Hồi giáo
1,N,Hội chữ thập đỏ
1,N,IC
1,N,ISO
1,N,IT
1,N,Internet
1,N,Intranet
1,V,KCS
1,V,KT
1,N,KTT
1,N,Khổng giáo
1,N,Kitô giáo
1,N,LC
1,N,La Nina
1,A,Latin
1,S,M-
1,N,MB
1,N,MC
1,N,Mbit
1,X,Mg
1,N,Mn
1,N,Mạnh Thường Quân
1,N,N
1,N,NCS
1,N,NQ
1,N,NSND
1,N,NSƯT
1,N,Nam Cực
1,N,Nguyên Đán
1,N,Nguyệt Lão
1,N,Ngọc Hoàng
1,N,Noel
1,N,Nxb
1,N,NĐ
1,N,O
1,N,ODA
1,N,PC
1,X,PDA
1,N,PGS
1,N,PTCS
1,N,PTS
1,N,PTTH
1,X,Pb
1,N,Phật
1,N,Phật Bà
1,N,Phật giáo
1,N,Phật học
1,N,Phật pháp
1,N,Phật tổ
1,N,Phật tử
1,N,Phật Đản
1,N,Phật đài
1,N,Pt
1,N,QH
1,N,QS
1,N,QĐ
1,N,ROM
1,N,Ra
1,N,S
1,N,SGK
1,N,SHTT
1,N,SIDA
1,N,SOS
1,N,SX
1,N,Sb
1,N,Sn
1,N,St
1,N,Sở Khanh
1,V,T/M
1,N,TAND
1,V,TB
1,N,TBT
1,N,TCty
1,N,TDTT
1,N,TGĐ
1,V,TL
1,N,TOEFL
1,N,TP
1,N,TS
1,N,TT
1,N,TTS
1,N,TV
1,N,TW
1,N,Tam Tạng
1,N,Tel
1,N,Thiên Chúa
1,N,Thiên Chúa giáo
1,N,Thái Dương Hệ
1,N,Thượng Đế
1,N,Tiểu Hùng
1,N,Tân Ước
1,X,TƯ
1,N,Tết Nguyên Đán
1,N,Tết dương lịch
1,N,Tết ta
1,N,Tết tây
1,N,Tết âm lịch
1,N,UB
1,N,UBND
1,N,UPS
1,N,URL
1,X,USD
1,N,V
1,N,VAC
1,N,VAT
1,	,VI
1,N,VKS
1,N,VP
1,N,VĐV
1,N,W
1,N,WC
1,N,Wh
1,X,XHCN
1,X,XML
1,N,XN
1,N,XNK
1,N,Zn
1,N-E,a
1,V,a dua
13,E,a ha
4,E,a lô
1,A,a ma tơ
1,E,a men
2,V,a tòng
1,N,abscess
1,N,accordeon
1,N,account
1,N,accumulator
1,N,acetone
1,N,acetylene
1,N,acid
1,N,acid acetic
1,N,acid amin
1,N,acid béo
1,N,acid carbonic
1,N,acid chlorhydric
1,N,acid nitric
1,N,acid sulfuric
1,R,ad hoc
1,N,agar
14460,P,ai
226,P,ai ai
130,U,ai bảo
1,U,ai lại
231,U,ai ngờ
1,P,ai nấy
45,A,ai oán
1,N,ai điếu
1,U,ai đời
1,N,album
1,N,albumin
1,N,alkaloid
1,N,almanac
1,N,almanach
1,N,alpha
1,N,alphabet
1,N,am
83,V,am hiểu
14,V,am tường
1,N,amiante
1,N,amib
1,N,amino acid
1,N,ammoniac
1,N,ampere
1,N,ampere kế
2,N,ampli
1,N,amygdala
121,V,an bài
43,V,an cư
5,V,an dưỡng
10,V,an hưởng
32,A,an khang
65,A,an lành
38,V,an nghỉ
70,A,an nhiên
1,A,an nhàn
1139,N-A,an ninh
16,V,an phận
135,A,an sinh
1,V,an thai
1,V,an thân
1,V,an thần
1,A-N,an toàn
1,N,an toàn khu
1,V,an toạ
1,V,an táng
1,A,an tâm
431,V,an ủi
41,N,ang
2,V,ang áng
1,N-L,anh
1,N,anh chàng
1,N,anh chị
1,N,anh chị em
1,A,anh dũng
1,N,anh em
1,N,anh em cọc chèo
1,N,anh em thúc bá
1175,N-A,anh hùng
2,N,anh hùng ca
1,A,anh hùng chủ nghĩa
1,A,anh hùng cá nhân
1,N-A,anh hùng rơm
15,N-A,anh linh
